Saturated Water Table,,,,,,,
"Moran2008, pp. 817-818",,,,,,,
,,,,,,,
Units,,,,,,,
1.000E0,second (s),,,,,,
1.000E-3,meter (m),,,,,,
1.000E3,siemen (S),,,,,,
1.000E-3,weber (Wb),,,,,,
1,coulomb (C),,,,,,
1.000E-3,volt (V),,,,,,
1.000E-3,joule (J),,,,,,
96485.3399,"mole (mol); value from ""Faraday constant"" (NIST2009)",,,,,,
8.62E-8,"kelvin (K); value from ""gas constant"" (NIST2009)",,,,,,
1.000E-6,sievert (Sv),,,,,,
1.000E3,kilogram (kg),,,,,,
1.000E6,pascal (Pa),,,,,,
1.000E11,bar,,,,,,
1,ampere (A),,,,,,
,,,,,,,
Other constants,,,,,,,
1.867152E-4,"Specific mass (value from McBride2002 et. al, 2002)",,,,,,
,,,,,,,
Temp. in deg C,Therm. spec. en. / kSv,Sat press. / bar,Sat. press. / (GA/(m.s)),Rel. vol. sat. gas / (m3/kg),Rel. vol. sat. liq. / (m3/kg),Den. sat. gas / (C/mm3),Den. sat. liq. / (C/mm3)
0.01,126.07,0.00611,3.2724,206.136,1.0002E-3,2.598E-5,5.35467929
4,127.91,0.00813,4.3542,157.232,1.0001E-3,3.406E-5,5.35521470
5,128.37,0.00872,4.6702,147.120,1.0001E-3,3.640E-5,5.35521470
6,128.83,0.00935,5.0076,137.734,1.0001E-3,3.888E-5,5.35521470
8,129.76,0.01072,5.7414,120.917,1.0002E-3,4.429E-5,5.35467929
10,130.68,0.01228,6.5769,106.397,1.0004E-3,5.034E-5,5.35360878
11,131.14,0.01312,7.0267,99.857,1.0004E-3,5.363E-5,5.35360878
12,131.60,0.01402,7.5088,93.784,1.0005E-3,5.711E-5,5.35307369
13,132.06,0.01497,8.0176,88.124,1.0007E-3,6.078E-5,5.35200382
14,132.53,0.01598,8.5585,82.848,1.0008E-3,6.465E-5,5.35146905
15,132.99,0.01705,9.1316,77.926,1.0009E-3,6.873E-5,5.35093438
16,133.45,0.01818,9.7368,73.333,1.0011E-3,7.303E-5,5.34986537
17,133.91,0.01938,10.3794,69.044,1.0012E-3,7.757E-5,5.34933103
18,134.37,0.02064,11.0543,65.038,1.0014E-3,8.235E-5,5.34826266
19,134.83,0.02198,11.7719,61.293,1.0016E-3,8.738E-5,5.34719471
20,135.30,0.02339,12.5271,57.791,1.0018E-3,9.267E-5,5.34612720
21,135.76,0.02487,13.3198,54.514,1.0020E-3,9.825E-5,5.34506010
22,136.22,0.02645,14.1660,51.447,1.0022E-3,1.041E-4,5.34399344
23,136.68,0.02810,15.0497,48.574,1.0024E-3,1.103E-4,5.34292720
24,137.14,0.02985,15.9869,45.883,1.0027E-3,1.167E-4,5.34132864
25,137.60,0.03169,16.9724,43.360,1.0029E-3,1.235E-4,5.34026346
26,138.06,0.03363,18.0114,40.994,1.0032E-3,1.306E-4,5.33866649
27,138.53,0.03567,19.1040,38.774,1.0035E-3,1.381E-4,5.33707048
28,138.99,0.03782,20.2554,36.690,1.0037E-3,1.460E-4,5.33600700
29,139.45,0.04008,21.4658,34.733,1.0040E-3,1.542E-4,5.33441257
30,139.91,0.04246,22.7405,32.894,1.0043E-3,1.628E-4,5.33281910
31,140.37,0.04496,24.0795,31.165,1.0046E-3,1.719E-4,5.33122658
32,140.83,0.04759,25.4880,29.540,1.0050E-3,1.813E-4,5.32910470
33,141.30,0.05034,26.9608,28.011,1.0053E-3,1.912E-4,5.32751440
34,141.76,0.05324,28.5140,26.571,1.0056E-3,2.016E-4,5.32592504
35,142.22,0.05628,30.1422,25.216,1.0060E-3,2.124E-4,5.32380738
36,142.68,0.05947,31.8506,23.940,1.0063E-3,2.237E-4,5.32222024
38,143.60,0.06632,35.5193,21.602,1.0071E-3,2.479E-4,5.31799248
